canonical_name,EXPDATE,Received Qty,Invoice date,Product_MFG DATE,Actual Purchase Rate,max Rate,Conversion unit,sgstrate,SGST_amount,Invoice No,Supplier State,CGST_amount,cgstrate,Batch,cgst,Item Net Amount,Supplier GST,GST Perc,HSN Code,Taxable amount,,mrp,igst,Supplier Name
गिलोय जूस 500 एमएल,21-04-2026,12,08-05-2025,21-04-2025,64.0908333333333,64.09,PCS,6,46.1454,TI724AAA2526,UK,46.1448,6,PFY2500006,46.14,861.37,05AAECK5765H1ZE,12,30049011,769.08,,90,0,KANHA JI DISTRIBUTORS
तिल का तेल 1 लीटर (बी),02-01-2026,12,08-05-2025,07-04-2025,216.095833333333,216.1,PCS,2.5,64.82875,TI724AAA2526,UK,64.83,2.5,JACQ250030,64.83,2722.81,05AAECK5765H1ZE,5,15155091,2593.16,,280,0,KANHA JI DISTRIBUTORS
आँवला चटपटा कैंडी 250 ग्राम,26-03-2026,24,08-05-2025,26-03-2025,65.1245833333333,65.12,PCS,2.5,39.07475,TI724AAA2526,UK,39.072,2.5,AMV2500018,39.07,1641.13,05AAECK5765H1ZE,5,8112010,1562.98,,95,0,KANHA JI DISTRIBUTORS
बेसन 500 ग्राम,14-08-2025,20,08-05-2025,17-03-2025,56.63,56.63,PCS,2.5,28.315,TI724AAA2526,UK,28.315,2.5,PDCR250020,28.31,1189.22,05AAECK5765H1ZE,5,11061090,1132.59,,75,0,KANHA JI DISTRIBUTORS
सूजी 1 किलो,13-08-2025,10,08-05-2025,15-04-2025,59.099,59.1,PCS,2.5,14.77475,TI724AAA2526,UK,14.775,2.5,PDANA25008,14.78,620.55,05AAECK5765H1ZE,5,11010000,591,,75,0,KANHA JI DISTRIBUTORS
चीनी 5 किलो,17-03-2027,6,08-05-2025,27-03-2025,298.968333333333,298.97,PCS,2.5,44.84525,TI724AAA2526,UK,44.8455,2.5,BAIW250014,44.85,1883.51,05AAECK5765H1ZE,5,17011490,1793.82,,340,0,KANHA JI DISTRIBUTORS
आयोडाइज्ड नमक 1 किलो,22-10-2026,25,08-05-2025,01-11-2024,10.4,10.4,PCS,0,0,TI724AAA2526,UK,0,0,CS-24/11,0,260,05AAECK5765H1ZE,0,25010010,260,,22,0,KANHA JI DISTRIBUTORS
केशकांति हेयर क्लींजर नैचुरल,27-03-2027,960,08-05-2025,27-03-2025,0.62,0.65,PCS,9,53.568,TI724AAA2526,UK,56.16,9,ABAC250028,53.57,702.34,05AAECK5765H1ZE,18,33051090,595.2,,1,0,KANHA JI DISTRIBUTORS
बॉडी उबटन 100 ग्राम,10-03-2026,20,08-05-2025,10-03-2025,43.16,43.16,PCS,9,77.688,TI725AAA2526,UK,77.688,9,ACW2500005,77.69,1018.58,05AAECK5765H1ZE,18,33019011,863.2,,60,0,KANHA JI DISTRIBUTORS
अर्शोगृत 60 टैबलेट,19-02-2028,20,08-05-2025,06-03-2025,148.81,148.81,PCS,6,178.572,TI725AAA2526,UK,178.572,6,ADAR250006,178.57,3333.34,05AAECK5765H1ZE,12,30049011,2976.2,,200,0,KANHA JI DISTRIBUTORS
मखाना 250 ग्राम,15-01-2026,10,08-05-2025,21-03-2025,427.11,427.11,PCS,2.5,106.7775,TI725AAA2526,UK,106.7775,2.5,AALI250018,106.78,4484.66,05AAECK5765H1ZE,5,8029000,4271.1,,500,0,KANHA JI DISTRIBUTORS
किशमिश 250 ग्राम (ब्लैक),09-09-2025,6,08-05-2025,13-03-2025,98.2383333333333,98.24,PCS,2.5,14.73575,TI725AAA2526,UK,14.736,2.5,AARY250004,14.74,618.91,05AAECK5765H1ZE,5,8062010,589.44,,115,0,KANHA JI DISTRIBUTORS
मामरा बादाम प्रीमियम 250 ग्राम,12-10-2025,2,08-05-2025,15-04-2025,657.465,657.47,PCS,6,78.8958,TI725AAA2526,UK,78.8964,6,ABOH250002,78.9,1472.73,05AAECK5765H1ZE,12,8021200,1314.94,,810,0,KANHA JI DISTRIBUTORS
केश कांति हेयर क्लींजर नैचुरल 450 एमएल,25-03-2027,12,08-05-2025,04-04-2025,119.12,129.48,PCS,9,128.6496,TI725AAA2526,UK,139.8384,9,A2G2500006,128.65,1686.74,05AAECK5765H1ZE,18,33051090,1429.44,,180,0,KANHA JI DISTRIBUTORS
हर्बल सुहाग टीका (लाल),10-09-2026,12,08-05-2025,20-09-2024,64.1,64.1,PCS,0,0,TI725AAA2526,UK,0,0,AATZ240005,0,769.2,05AAECK5765H1ZE,0,33049940,769.2,,75,0,KANHA JI DISTRIBUTORS
केश रीठा हेयर क्लींजर 180 एमएल,20-03-2027,18,08-05-2025,20-03-2025,79.42,86.33,PCS,9,128.6604,TI725AAA2526,UK,139.8546,9,ABTZ250006,128.66,1686.88,05AAECK5765H1ZE,18,33051090,1429.56,,120,0,KANHA JI DISTRIBUTORS
केश कांति एलोवेरा हेयर क्लींजर 450 एमएल,05-04-2027,12,08-05-2025,15-04-2025,132.36,143.87,PCS,9,142.9488,TI725AAA2526,UK,155.3796,9,A9F2500006,142.95,1874.22,05AAECK5765H1ZE,18,33051090,1588.32,,200,0,KANHA JI DISTRIBUTORS
दिव्य पुनर्नवादि मंडूर 60 टैबलेट,25-02-2035,20,08-05-2025,25-03-2025,43.6495,43.65,PCS,2.5,21.82475,TI725AAA2526,UK,21.825,2.5,BPNM250014,21.83,916.65,05AAECK5765H1ZE,5,30049011,873,,55,0,KANHA JI DISTRIBUTORS
त्रयोदशांग गुग्गुल 40 टैबलेट,04-11-2029,20,08-05-2025,30-11-2024,27.78,27.78,PCS,2.5,13.89,TI725AAA2526,UK,13.89,2.5,BTDG240040,13.89,583.38,05AAECK5765H1ZE,5,30049011,555.6,,35,0,KANHA JI DISTRIBUTORS
दिव्य उतिनिल टैबलेट 30x10 (या 3x10),17-06-2027,10,08-05-2025,02-07-2024,372.02,372.02,PCS,6,223.212,TI725AAA2526,UK,223.212,6,AUTI240001,223.21,4166.62,05AAECK5765H1ZE,12,30049011,3720.2,,500,0,KANHA JI DISTRIBUTORS
मिंट कैंडी (मेन्थॉल),28-12-2025,6,08-05-2025,02-01-2025,100.41,100.41,PCS,6,36.1476,TI725AAA2526,UK,36.1476,6,DMC250001,36.15,674.76,05AAECK5765H1ZE,12,17049030,602.46,,150,0,KANHA JI DISTRIBUTORS
दिव्य मुलेठी चूर्ण 100 ग्राम,27-02-2027,25,08-05-2025,09-03-2025,43.65,43.65,PCS,2.5,27.28125,TI725AAA2526,UK,27.28125,2.5,BMLC250016,27.28,1145.81,05AAECK5765H1ZE,5,30049011,1091.25,,55,0,KANHA JI DISTRIBUTORS
बंधनी हींग 50 ग्राम (नया),04-08-2026,24,08-05-2025,10-02-2025,83.3595833333333,87.75,PCS,2.5,50.01575,TI725AAA2526,UK,52.65,2.5,CASY250002,50.02,2100.67,05AAECK5765H1ZE,5,13019013,2000.64,,120,0,KANHA JI DISTRIBUTORS
सौन्दर्य एलोवेरा जेल 60 एमएल,13-10-2026,4,08-05-2025,14-04-2025,179.84,179.84,PCS,9,64.7424,TI725AAA2526,UK,64.7424,9,ACCF250006,64.74,848.84,05AAECK5765H1ZE,18,33049910,719.36,,250,0,KANHA JI DISTRIBUTORS
आँवला कैंडी 250 ग्राम,06-03-2026,12,08-05-2025,06-03-2025,61.695,61.7,PCS,2.5,18.5085,TI725AAA2526,UK,18.51,2.5,ABLX250021,18.51,777.36,05AAECK5765H1ZE,5,8112010,740.34,,90,0,KANHA JI DISTRIBUTORS
दिव्य लिवोगृत 60 नग,13-02-2028,20,08-05-2025,28-02-2025,184.151,188.24,PCS,6,220.9812,TI725AAA2526,UK,225.888,6,BLGT250011,220.98,4124.98,05AAECK5765H1ZE,12,30049011,3683.02,,275,0,KANHA JI DISTRIBUTORS
दिव्य पीड़ानिल स्प्रे 100 एमएल,23-02-2026,12,08-05-2025,05-03-2024,133.255,136.21,PCS,6,95.9436,TI725AAA2526,UK,98.0712,6,AYC2401,95.94,1790.94,05AAECK5765H1ZE,12,30049011,1599.06,,199,0,KANHA JI DISTRIBUTORS
त्रिफला चूर्ण 100 ग्राम,25-02-2027,25,08-05-2025,25-03-2025,28.57,29.2,PCS,2.5,17.85625,TI725AAA2526,UK,18.25,2.5,ATPC250040,17.86,749.97,05AAECK5765H1ZE,5,30049011,714.26,,40,0,KANHA JI DISTRIBUTORS
फास्ट रिलीफ बाम 25 ग्राम,10-02-2028,12,08-05-2025,10-02-2025,39.3108333333333,42.73,PCS,6,28.3038,TI725AAA2526,UK,30.7656,6,AV12500002,28.3,528.33,05AAECK5765H1ZE,12,30049011,471.72,,60,0,KANHA JI DISTRIBUTORS
केश कांति मिल्क प्रोटीन हेयर क्लींजर 180 एमएल,22-03-2027,18,08-05-2025,22-03-2025,79.42,86.33,PCS,9,128.6604,TI725AAA2526,UK,139.8546,9,ABTX250004,128.66,1686.88,05AAECK5765H1ZE,18,33051090,1429.56,,120,0,KANHA JI DISTRIBUTORS
हर्बल सुहाग टीका (नया),01-10-2026,12,08-05-2025,11-10-2024,64.1,64.1,PCS,0,0,TI725AAA2526,UK,0,0,AJV2400012,0,769.2,05AAECK5765H1ZE,0,33049940,769.2,,75,0,KANHA JI DISTRIBUTORS
सौन्दर्य एलोवेरा जेल 150 एमएल,16-09-2026,22,08-05-2025,25-03-2025,66.1795454545455,71.93,PCS,9,131.0355,TI725AAA2526,UK,142.4214,9,AAHP250136,131.04,1718.03,05AAECK5765H1ZE,18,33049910,1455.96,,100,0,KANHA JI DISTRIBUTORS
सौन्दर्य एलोवेरा जेल 150 एमएल,07-09-2026,2,08-05-2025,16-03-2025,66.18,71.93,PCS,9,11.9124,TI725AAA2526,UK,12.9474,9,AAHP250112,11.91,156.18,05AAECK5765H1ZE,18,33049910,132.36,,100,0,KANHA JI DISTRIBUTORS
दूध बिस्कुट 35 ग्राम,01-11-2025,200,08-05-2025,05-05-2025,3.61,3.61,PCS,9,64.98,TI726AAA2526,UK,64.98,9,E425/BP1,64.98,851.96,05AAECK5765H1ZE,18,19053100,722,,5,0,KANHA JI DISTRIBUTORS
दूध बिस्कुट 70 ग्राम,27-10-2025,100,08-05-2025,30-04-2025,7.23,7.23,PCS,9,65.07,TI726AAA2526,UK,65.07,9,DW25/BP1,65.07,853.14,05AAECK5765H1ZE,18,19053100,723,,10,0,KANHA JI DISTRIBUTORS
क्रीमफीस्ट इलायची बिस्कुट 32.5 ग्राम,27-10-2025,144,08-05-2025,30-04-2025,3.60993055555556,3.61,PCS,9,46.7847,TI726AAA2526,UK,46.7856,9,DV25/BP1,46.79,613.41,05AAECK5765H1ZE,18,19053100,519.84,,5,0,KANHA JI DISTRIBUTORS
क्रीमफीस्ट चोको बिस्कुट 32.5 ग्राम,27-10-2025,144,08-05-2025,30-04-2025,3.60993055555556,3.61,PCS,9,46.7847,TI726AAA2526,UK,46.7856,9,DQ25/BP1,46.79,613.41,05AAECK5765H1ZE,18,19053100,519.84,,5,0,KANHA JI DISTRIBUTORS
नारियल बिस्कुट 68 ग्राम,23-10-2025,100,08-05-2025,26-04-2025,7.23,7.23,PCS,9,65.07,TI726AAA2526,UK,65.07,9,DU25/AV9,65.07,853.14,05AAECK5765H1ZE,18,19053100,723,,10,0,KANHA JI DISTRIBUTORS
आटा नूडल्स चटपटा फैमिली पैक 240 ग्राम,16-01-2026,48,14-05-2025,21-04-2025,33.57,33.57,PCS,6,96.6816,TI846AAA2526,UK,96.6816,6,CHF210425,96.68,1804.72,05AAECK5765H1ZE,12,19022090,1611.36,,48,0,KANHA JI DISTRIBUTORS
एलोवेरा फाइबर जूस 1 लीटर,23-01-2026,12,14-05-2025,28-04-2025,131.604166666667,149.55,PCS,6,94.755,TI846AAA2526,UK,107.676,6,PGD2500148,94.76,1768.77,05AAECK5765H1ZE,12,30049011,1579.25,,210,0,KANHA JI DISTRIBUTORS
आँवला अचार 1 किलो,05-03-2026,12,14-05-2025,05-03-2025,107.090833333333,107.09,PCS,6,77.1054,TI846AAA2526,UK,77.1048,6,ABA2500004,77.1,1439.29,05AAECK5765H1ZE,12,20019000,1285.08,,200,0,KANHA JI DISTRIBUTORS
मूंग छिलका 1 किलो,15-12-2025,10,14-05-2025,20-03-2025,128.939,128.94,PCS,2.5,32.23475,TI846AAA2526,UK,32.235,2.5,BPRMC25004,32.24,1353.87,05AAECK5765H1ZE,5,7133190,1289.4,,158,0,KANHA JI DISTRIBUTORS
बूरा चीनी 1 किलो,11-01-2026,30,14-05-2025,16-04-2025,64.72,64.72,PCS,2.5,48.54,TI846AAA2526,UK,48.54,2.5,AKI2500044,48.54,2038.68,05AAECK5765H1ZE,5,17029090,1941.6,,75,0,KANHA JI DISTRIBUTORS
डिशवॉश बार 600 ग्राम (स्क्रबर सहित),10-04-2028,24,14-05-2025,11-04-2025,41.43,41.43,PCS,9,89.4888,TI846AAA2526,UK,89.4888,9,AAYX250010,89.49,1173.3,05AAECK5765H1ZE,18,34011990,994.32,,60,0,KANHA JI DISTRIBUTORS
सरसों का तेल 1 लीटर (पाउच),09-04-2026,24,14-05-2025,14-04-2025,151.009583333333,151.01,PCS,2.5,90.60575,TI846AAA2526,UK,90.606,2.5,N2B2500031,90.61,3805.45,05AAECK5765H1ZE,5,15149920,3624.24,,175,0,KANHA JI DISTRIBUTORS
फोर्टिफाइड सूरजमुखी तेल 1 लीटर (पाउच),16-01-2026,12,14-05-2025,21-04-2025,149.610833333333,149.61,PCS,2.5,44.88325,TI846AAA2526,UK,44.883,2.5,BR2A250014,44.88,1885.09,05AAECK5765H1ZE,5,15121910,1795.32,,175,0,KANHA JI DISTRIBUTORS
सेब सिरका हल्दी-अदरक 500 एमएल,03-04-2026,24,14-05-2025,03-04-2025,118.020416666667,118.02,PCS,9,254.9241,TI846AAA2526,UK,254.9232,9,ABVO250004,254.92,3342.33,05AAECK5765H1ZE,18,22090090,2832.48,,175,0,KANHA JI DISTRIBUTORS
नवरत्न आटा 2 किलो,10-10-2025,20,14-05-2025,13-04-2025,150.685,153.76,PCS,2.5,75.3425,TI846AAA2526,UK,76.88,2.5,AHV2500013,75.34,3164.38,05AAECK5765H1ZE,5,11010000,3013.7,,180,0,KANHA JI DISTRIBUTORS
आटा दूध रस्क 300 ग्राम,08-09-2025,24,14-05-2025,11-04-2025,40.8,40.8,PCS,2.5,24.48,TI846AAA2526,UK,24.48,2.5,DF25/SGB,24.48,1028.16,05AAECK5765H1ZE,5,19054000,979.2,,50,0,KANHA JI DISTRIBUTORS
पुष्टाहार दलिया 500 ग्राम,19-12-2025,30,14-05-2025,24-03-2025,40.6196666666667,40.62,PCS,2.5,30.46475,TI846AAA2526,UK,30.465,2.5,PDCQ250023,30.47,1279.53,05AAECK5765H1ZE,5,11031900,1218.6,,50,0,KANHA JI DISTRIBUTORS
दृष्टि आई ड्रॉप 10 एमएल,17-03-2026,40,14-05-2025,17-03-2025,14.23975,14.24,PCS,6,34.1754,TI847AAA2526,UK,34.176,6,AAST250013,34.18,637.95,05AAECK5765H1ZE,12,30049011,569.6,,20,0,KANHA JI DISTRIBUTORS
सौम्या आई ड्रॉप 10 एमएल,11-02-2027,20,14-05-2025,21-02-2025,24.9205,24.92,PCS,6,29.9046,TI847AAA2526,UK,29.904,6,AAAQ250002,29.9,558.21,05AAECK5765H1ZE,12,30049011,498.4,,35,0,KANHA JI DISTRIBUTORS
दिव्य दालचीनी चूर्ण 100 ग्राम,25-02-2027,25,14-05-2025,25-03-2025,51.5904,51.59,PCS,2.5,32.244,TI847AAA2526,UK,32.24375,2.5,ADCC250015,32.24,1354.24,05AAECK5765H1ZE,5,30049011,1289.75,,65,0,KANHA JI DISTRIBUTORS
रोगन बादाम शीरीन 150 एमएल,16-12-2027,12,14-05-2025,31-12-2024,307.14,307.14,PCS,2.5,92.142,TI847AAA2526,UK,92.142,2.5,BRBS240019,92.14,3869.96,05AAECK5765H1ZE,5,30049011,3685.68,,450,0,KANHA JI DISTRIBUTORS
रोगन बादाम शीरीन 60 एमएल,16-01-2028,15,14-05-2025,31-01-2025,129.68,129.68,PCS,2.5,48.63,TI847AAA2526,UK,48.63,2.5,BRBS250001,48.63,2042.46,05AAECK5765H1ZE,5,30049011,1945.2,,190,0,KANHA JI DISTRIBUTORS
दिव्य आँवला चूर्ण 100 ग्राम,21-02-2027,25,14-05-2025,21-03-2025,35.71,35.71,PCS,2.5,22.31875,TI847AAA2526,UK,22.31875,2.5,BAMC250012,22.32,937.39,05AAECK5765H1ZE,5,30049011,892.75,,45,0,KANHA JI DISTRIBUTORS
दिव्य गोधान अर्क 450 एमएल,01-03-2026,20,14-05-2025,01-04-2025,40.179,43.75,PCS,6,48.2148,TI847AAA2526,UK,52.5,6,AGDA250015,48.21,900,05AAECK5765H1ZE,12,30049011,803.57,,60,0,KANHA JI DISTRIBUTORS
अश्वगंधा 11 ग्राम (स्ट्रिप),10-01-2027,20,14-05-2025,20-01-2025,57.6825,62.81,PCS,6,69.219,TI847AAA2526,UK,75.372,6,AASZ250006,69.22,1292.09,05AAECK5765H1ZE,12,30049011,1153.65,,90,0,KANHA JI DISTRIBUTORS
दिव्य मुक्तावटी एक्स्ट्रा पावर 120 टैबलेट,08-02-2030,20,14-05-2025,06-03-2025,150.667,164.06,PCS,6,180.8004,TI847AAA2526,UK,196.872,6,AMUE250061,180.8,3374.94,05AAECK5765H1ZE,12,30049011,3013.34,,225,0,KANHA JI DISTRIBUTORS
दिव्य कंथमृत च्यूएबल 40 नग,21-01-2028,10,14-05-2025,05-02-2025,26.79,29.17,PCS,6,16.074,TI847AAA2526,UK,17.502,6,ADKT250007,16.07,300.04,05AAECK5765H1ZE,12,30049011,267.89,,40,0,KANHA JI DISTRIBUTORS
दिव्य कंथमृत च्यूएबल 80 नग,13-02-2028,10,14-05-2025,28-02-2025,50.225,54.69,PCS,6,30.135,TI847AAA2526,UK,32.814,6,ADKT250009,30.14,562.53,05AAECK5765H1ZE,12,30049011,502.26,,75,0,KANHA JI DISTRIBUTORS
दिव्य लवंगादि वटी 80 टैबलेट,15-01-2028,20,14-05-2025,30-01-2025,35.7095,35.71,PCS,2.5,17.85475,TI847AAA2526,UK,17.855,2.5,BLGV250001,17.86,749.91,05AAECK5765H1ZE,5,30049011,714.2,,45,0,KANHA JI DISTRIBUTORS
दिव्य न्यूरोगृत गोल्ड 20 नग,15-03-2028,10,14-05-2025,15-04-2025,401.786,437.5,PCS,6,241.0716,TI847AAA2526,UK,262.5,6,ANGD250004,241.07,4500,05AAECK5765H1ZE,12,30049011,4017.86,,600,0,KANHA JI DISTRIBUTORS
आईग्रिट आई ड्रॉप 10 एमएल,06-04-2027,40,14-05-2025,06-04-2025,29.17,29.17,PCS,6,70.008,TI847AAA2526,UK,70.008,6,ABQR250007,70.01,1306.82,05AAECK5765H1ZE,12,30049011,1166.8,,40,0,KANHA JI DISTRIBUTORS
हल्दी पाउडर 200 ग्राम,24-03-2026,30,22-05-2025,24-03-2025,51.65,56.14,PCS,2.5,38.7375,TI995AAA2526,UK,42.105,2.5,AJC2500016,38.74,1626.98,05AAECK5765H1ZE,5,9103030,1549.5,,82,0,KANHA JI DISTRIBUTORS
शक्ति राइस एक्सएक्सएल मिनी मोगरा-2 10 किलो,14-08-2026,4,22-05-2025,24-08-2024,355.01,355.01,PCS,2.5,35.501,TI995AAA2526,UK,35.501,2.5,E6M2400006,35.5,1491.04,05AAECK5765H1ZE,5,10063090,1420.04,,720,0,KANHA JI DISTRIBUTORS
दूध बिस्कुट 35 ग्राम,07-11-2025,200,22-05-2025,11-05-2025,3.61,3.61,PCS,9,64.98,TI995AAA2526,UK,64.98,9,ED25/BP1,64.98,851.96,05AAECK5765H1ZE,18,19053100,722,,5,0,KANHA JI DISTRIBUTORS
क्रंची कोकोनट कुकीज़ 70 ग्राम,11-11-2025,72,22-05-2025,15-05-2025,7.23,7.23,PCS,9,46.8504,TI995AAA2526,UK,46.8504,9,EI25/BP1,46.85,614.26,05AAECK5765H1ZE,18,19053100,520.56,,10,0,KANHA JI DISTRIBUTORS
हल्दी-चंदन कांति बॉडी क्लींजर 4x45 ग्राम,11-02-2027,54,22-05-2025,11-02-2025,26.9701851851852,29.97,PCS,9,131.0751,TI995AAA2526,UK,145.6542,9,AAWL250002,131.07,1718.53,05AAECK5765H1ZE,18,34011941,1456.38,,40,0,KANHA JI DISTRIBUTORS
एलोवेरा कांति बॉडी क्लींजर 75 ग्राम (4x1),18-03-2027,36,22-05-2025,18-03-2025,54.8197222222222,59.8,PCS,9,177.6159,TI995AAA2526,UK,193.752,9,ASV2500008,177.62,2328.75,05AAECK5765H1ZE,18,34011941,1973.52,,83,0,KANHA JI DISTRIBUTORS
शहद 1 किलो,06-10-2026,12,22-05-2025,14-04-2025,265.44,312.28,PCS,2.5,79.632,TI995AAA2526,UK,93.684,2.5,BCN2500017,79.63,3344.54,05AAECK5765H1ZE,5,4090000,3185.28,,410,0,KANHA JI DISTRIBUTORS
खांड 1 किलो,12-05-2026,30,22-05-2025,12-05-2025,85.443,85.44,PCS,2.5,64.08225,TI995AAA2526,UK,64.08,2.5,AARQ250034,64.08,2691.45,05AAECK5765H1ZE,5,17011420,2563.29,,110,0,KANHA JI DISTRIBUTORS
सरसों का तेल 1 लीटर (पाउच),01-05-2026,12,22-05-2025,06-05-2025,151.010833333333,151.01,PCS,2.5,45.30325,TI995AAA2526,UK,45.303,2.5,N2B2500036,45.3,1902.73,05AAECK5765H1ZE,5,15149920,1812.12,,175,0,KANHA JI DISTRIBUTORS
टूथब्रश नॉर्मल (हैंगर पैक) 336 नग,07-04-2030,336,22-05-2025,08-04-2025,6.76,7.19,PCS,9,204.4224,TI995AAA2526,UK,217.4256,9,080425NL,204.42,2680.2,05AAECK5765H1ZE,18,96032100,2271.36,,10,0,KANHA JI DISTRIBUTORS
हर्बल वॉश डिटर्जेंट पाउडर 1 किलो,05-05-2030,25,22-05-2025,06-05-2025,51.44,51.44,PCS,9,115.74,TI995AAA2526,UK,115.74,9,AM92500039,115.74,1517.48,05AAECK5765H1ZE,18,34029011,1286,,70,0,KANHA JI DISTRIBUTORS
ग्रीन फ्लश टॉयलेट क्लीनर 500 एमएल,29-04-2027,24,22-05-2025,29-04-2025,57.4004166666667,68.33,PCS,9,123.9849,TI995AAA2526,UK,147.5928,9,ABHE250008,123.98,1625.57,05AAECK5765H1ZE,18,34029092,1377.6,,95,0,KANHA JI DISTRIBUTORS
आटा नूडल्स देसी मसाला 60 ग्राम,14-01-2026,192,22-05-2025,19-04-2025,8.58,8.58,PCS,6,98.8416,TI995AAA2526,UK,98.8416,6,DM190425,98.84,1845.04,05AAECK5765H1ZE,12,19022090,1647.36,,12,0,KANHA JI DISTRIBUTORS
आँवला जूस 1 लीटर,15-05-2026,12,22-05-2025,15-05-2025,94.0016666666667,94,PCS,6,67.6812,TI995AAA2526,UK,67.68,6,ACCT250011,67.68,1263.38,05AAECK5765H1ZE,12,30049011,1128.02,,150,0,KANHA JI DISTRIBUTORS
दिव्य अर्जुन घनवटी 60 टैबलेट (3x20),19-02-2028,20,22-05-2025,06-03-2025,133.9295,133.93,PCS,6,160.7154,TI996AAA2526,UK,160.716,6,ADAG250005,160.72,3000.03,05AAECK5765H1ZE,12,30049011,2678.6,,180,0,KANHA JI DISTRIBUTORS
दिव्य अर्शकल्प वटी 40 टैबलेट,14-02-2028,20,22-05-2025,01-03-2025,33.4795,33.48,PCS,6,40.1754,TI996AAA2526,UK,40.176,6,BAKV250025,40.18,749.95,05AAECK5765H1ZE,12,30049011,669.6,,45,0,KANHA JI DISTRIBUTORS
केश कांति एडवांस हेयर एक्सपर्ट ऑयल 30 एमएल,27-01-2027,24,22-05-2025,27-01-2025,59.3,69.76,PCS,9,128.088,TI996AAA2526,UK,150.6816,9,ABHX250001,128.09,1679.38,05AAECK5765H1ZE,18,33059019,1423.2,,100,0,KANHA JI DISTRIBUTORS
दिव्य सिस्टोगृत 60 टैबलेट (3x20),01-02-2028,20,22-05-2025,01-03-2025,200.893,205.35,PCS,6,241.0716,TI996AAA2526,UK,246.42,6,BCTT250007,241.07,4500,05AAECK5765H1ZE,12,30049011,4017.86,,300,0,KANHA JI DISTRIBUTORS
एलोवेरा मिक्स्ड फ्रूट जैम 500 ग्राम,08-04-2026,12,28-05-2025,08-04-2025,51.57,51.57,PCS,6,37.1304,TI1121AAA2526,UK,37.1304,6,B1O2500004,37.13,693.1,05AAECK5765H1ZE,12,20079990,618.84,,70,0,KANHA JI DISTRIBUTORS
दंत कांति नैचुरल 200x3 बिग सेवर पैक,27-04-2027,24,28-05-2025,07-05-2025,199.82,199.82,PCS,9,431.6112,TI1121AAA2526,UK,431.6112,9,AAPW250014,431.61,5658.9,05AAECK5765H1ZE,18,33061020,4795.68,,280,0,KANHA JI DISTRIBUTORS
दंत कांति डेंटल क्रीम एडवांस 2x100 ग्राम,28-10-2026,36,28-05-2025,06-05-2025,103.58,103.58,PCS,9,335.5992,TI1121AAA2526,UK,335.5992,9,AF82500007,335.6,4400.08,05AAECK5765H1ZE,18,33061020,3728.88,,160,0,KANHA JI DISTRIBUTORS
सुपर डिशवॉश बार 10 रुपये (फ्री 3 नग),07-05-2028,60,28-05-2025,08-05-2025,7.33983333333333,7.34,PCS,9,39.6351,TI1121AAA2526,UK,39.636,9,AAXY250097,39.64,519.67,05AAECK5765H1ZE,18,34011941,440.4,,10,0,KANHA JI DISTRIBUTORS
गिलोय जूस 500 एमएल,30-04-2026,12,28-05-2025,30-04-2025,64.0908333333333,64.09,PCS,6,46.1454,TI1121AAA2526,UK,46.1448,6,PFY2500007,46.14,861.37,05AAECK5765H1ZE,12,30049011,769.08,,90,0,KANHA JI DISTRIBUTORS
एलोवेरा फाइबर जूस 1 लीटर,08-02-2026,12,28-05-2025,14-05-2025,137.869166666667,156.67,PCS,6,99.2658,TI1121AAA2526,UK,112.8024,6,ACCR250002,99.27,1852.97,05AAECK5765H1ZE,12,30049011,1654.44,,220,0,KANHA JI DISTRIBUTORS
आँवला जूस 1 लीटर,15-05-2026,12,28-05-2025,15-05-2025,94.0016666666667,106.82,PCS,6,67.6812,TI1121AAA2526,UK,76.9104,6,ACCT250011,67.68,1263.38,05AAECK5765H1ZE,12,30049011,1128.02,,150,0,KANHA JI DISTRIBUTORS
पारम्परिक गेहूँ का आटा 10 किलो,17-08-2025,5,28-05-2025,19-04-2025,401.818,410.02,PCS,2.5,50.22725,TI1121AAA2526,UK,51.2525,2.5,PDV4250020,50.23,2109.55,05AAECK5765H1ZE,5,11010000,2009.1,,480,0,KANHA JI DISTRIBUTORS
मारी बिस्कुट 70 ग्राम,15-11-2025,48,28-05-2025,19-05-2025,7.23020833333333,7.23,PCS,9,31.2345,TI1121AAA2526,UK,31.2336,9,EN25/BP1,31.23,409.51,05AAECK5765H1ZE,18,19053100,347.04,,10,0,KANHA JI DISTRIBUTORS
चक्की आटा विथ ब्रान 5 किलो (आरओआई),11-09-2025,6,28-05-2025,14-05-2025,209.28,213.55,PCS,2.5,31.392,TI1121AAA2526,UK,32.0325,2.5,PDAEZ25001,31.39,1318.46,05AAECK5765H1ZE,5,11010000,1255.67,,250,0,KANHA JI DISTRIBUTORS
दिव्य महामंजिष्ठादि काढ़ा 450 एमएल,17-01-2035,20,28-05-2025,10-03-2025,83.571,105,PCS,2.5,41.7855,TI1121AAA2526,UK,52.5,2.5,MMP250003,41.79,1755,05AAECK5765H1ZE,5,30049011,1671.43,,135,0,KANHA JI DISTRIBUTORS
केश कांति हर्बल मेहंदी (नेचुरल ब्लैक),27-03-2026,40,28-05-2025,01-04-2025,13.49025,13.49,PCS,9,48.5649,TI1121AAA2526,UK,48.564,9,ANBL250094,48.56,636.73,05AAECK5765H1ZE,18,33059090,539.6,,20,0,KANHA JI DISTRIBUTORS
