original,Very_Short_english_suggestions,final_hindi_name,very_short_simple_hindi_suggestion
SAUMYA EYE DROP 10 ML,saumya eye drop,सौम्या आई ड्रॉप 10 एमएल,सौम्या ड्रॉप
SAUNDARYA ALOEVERA GEL 150 ML,aloe vera gel,सौन्दर्य एलोवेरा जेल 150 एमएल,एलोवेरा जेल
SAUNDARYA ALOEVERA GEL 150ML C.O.FAG20RS,aloe vera gel,सौन्दर्य एलोवेरा जेल 150 एमएल (ऑफर),एलोवेरा जेल
SAUNDARYA ALOEVERA GEL 60ML T.O. (5+1),aloe vera gel,सौन्दर्य एलोवेरा जेल 60 एमएल,एलोवेरा जेल
SAUNDARYA ALOEVERA GEL K. CHANDAN 150 ML,gel aloe vera,सौन्दर्य एलोवेरा जेल केसर-चंदन 150 एमएल,एलोवेरा जेल
SAUNDARYA ALOEVERA GEL K.CHANDAN 60 ML,gel aloe vera,सौन्दर्य एलोवेरा जेल केसर-चंदन 60 एमएल,एलोवेरा जेल
SENDHA NAMAK 1 KG - T,sendha namak,सेंधा नमक 1 किलो,नमक
SESAME OIL 1 L (B)-T,sesame oil,तिल का तेल 1 लीटर (बी),तिल का तेल
SHAKTI RICE XXL MINI MOGRA-2 10 KG (T),rice mini mogra-2,शक्ति राइस एक्सएक्सएल मिनी मोगरा-2 10 किलो,राइस मिनी मोगरा-2
SHATAVAR CHURNA 100G (Ayu.Medicine),shatavari churna,शतावर चूर्ण 100 ग्राम,शतावर चूर्ण
SHIKAKAI POWDER 100 G,shikakai powder,शिकाकाई पाउडर 100 ग्राम,शिकाकाई पाउडर
SHILAJIT - 11 GM (STRIP),shilajit strip,शिलाजीत 11 ग्राम (स्ट्रिप),शिलाजीत
SOOJI - 500 GM,sooji,सूजी 500 ग्राम,सूजी
SOOJI 1 KG,sooji,सूजी 1 किलो,सूजी
SOYA CHUNKS 220 GM - T,soya chunks,सोया चंक्स 220 ग्राम,सोया चंक्स
SPECIAL CHYAWANPRASH 1 KG,chyawanprash,स्पेशल च्यवनप्राश 1 किलो,च्यवनप्राश
SPECIAL CHYAWANPRASH 500 G,chyawanprash,स्पेशल च्यवनप्राश 500 ग्राम,च्यवनप्राश
SUGAR 5 KG,sugar,चीनी 5 किलो,चीनी
SUJI ELAICHI RUSK 300 GM - T,suji elaichi rusk,सूजी इलायची रस्क 300 ग्राम,सूजी इलायची
SUN SCREEN CREAM SPF30- 50GM,cream sun screen,सनस्क्रीन क्रीम एसपीएफ 30,सनस्क्रीन क्रीम
SUPER DISHWASH BAR-225 G B3G1 FREE,super dishwash bar,सुपर डिशवॉश बार 225 ग्राम (ऑफर),सुपर डिशवॉश
SUPER DISHWASH BAR-RS10/- (T.O. FREE 3N),super dishwash bar,सुपर डिशवॉश बार 10 रुपये (फ्री 3 नग),सुपर डिशवॉश
TANKAN BHASMA 5 Gm,tankan bhasma,टंकन भस्म 5 ग्राम,टंकन भस्म
TEJUS TAILUM 100 ML,tejus tailum,तेजस तैलम 100 एमएल,तेजस तैलम
TOMATO KETCHUP W/O ONION GRLC 950GM(P)-T,tomato ketchup wo,टमाटर केचप बिना प्याज-लहसुन 950 ग्राम (पाउच),टमाटर केचप
TOOTHBRUSH NORMAL HANGER (336 PC) - T,toothbrush normal,टूथब्रश नॉर्मल (हैंगर पैक) 336 नग,टूथब्रश नॉर्मल
TRADITIONAL WHOLE WHEAT ATTA 10 KG,whole wheat atta,पारम्परिक गेहूँ का आटा 10 किलो,गेहूँ का आटा
TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),whole wheat atta,पारम्परिक गेहूँ का आटा 10 किलो (यूके),गेहूँ का आटा
TRADITIONAL WHOLE WHEAT ATTA 5 KG,whole wheat atta,पारम्परिक गेहूँ का आटा 5 किलो,गेहूँ का आटा
TRADITIONAL WHOLE WHEAT ATTA 5 KG(UK),whole wheat atta,पारम्परिक गेहूँ का आटा 5 किलो (यूके),गेहूँ का आटा
TRADT. W.W CHAKKI ATTA W.BRAN 10 KG_ROI,whole wheat atta,चक्की आटा विथ ब्रान 10 किलो (आरओआई),गेहूँ का आटा
TRADT. W.W CHAKKI ATTA W.BRAN 5 KG_ROI,whole wheat atta,चक्की आटा विथ ब्रान 5 किलो (आरओआई),गेहूँ का आटा
TRIPHALA CHURNA -100GM,triphala churna,त्रिफला चूर्ण 100 ग्राम,त्रिफला चूर्ण
TRIPHALA GUGGUL 40 Tab,triphala guggul,त्रिफला गुग्गुल 40 टैबलेट,त्रिफला गुग्गुल
Triyodashang Guggul 40 Tab,triyodashang guggul,त्रयोदशांग गुग्गुल 40 टैबलेट,त्रयोदशांग गुग्गुल
TURMERIC POWDER 200 GM,turmeric powder,हल्दी पाउडर 200 ग्राम,हल्दी पाउडर
VERMICELLI ROASTED 400 GM - T,vermicelli roasted,वर्मिसेली रोस्टेड 400 ग्राम,वर्मिसेली रोस्टेड
WHITE LILY ADVANCE BEAUTY BAR-75 G,beauty bar,व्हाइट लिली ब्यूटी बार 75 ग्राम,ब्यूटी बार
Yograj Guggul 40 Tab,yograj guggul,योगराज गुग्गुल 40 टैबलेट,योगराज गुग्गुल
