81655,98.33,SUPER STEEL SCRUB - T,सुपर स्टील स्क्रब,SUPER STEEL SCRUB - T,12-02-2029,1,0,10-07-2024,10-03-2024,180,1,6.07,ktm,6.74,NON FOOD,16-07-2024,pal ak,PO19AAA2425,Carton,100060,,9,TI1867AAA2425,5,0,6.07,0,0,Main Warehouse,9,0,202403,Open,HOME CARE,0,PI16AAA2425,PATANJALI STORE,,98.33,0,1289.27,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,73231000,,0,1092.6,HOUSEHOLD CLEANER,180,10,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
84195,116.64,SUPER DISHWASH SCRUB PAD Rs 10/- T,सुपर डिशवॉश स्क्रब पैड ₹10/-,SUPER DISHWASH SCRUB PAD Rs 10/- T,27-02-2029,1,0,10-07-2024,25-03-2024,240,1,5.4,ktm,6.75,NON FOOD,16-07-2024,pal ak,PO19AAA2425,Carton,100060,,9,TI1867AAA2425,5,0,5.4,0,0,Main Warehouse,9,0,IL21,OPEN,NATURAL PERSONAL CARE,0,PI16AAA2425,PATANJALI STORE,,116.64,0,1529.28,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,39249090,,0,1296,SCRUB PAD,240,10,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150000823,34.18,SOYAVITA MASALA SOYA KATORI 60 GM -T,सोयाविटा मसाला सोया कटोरी 60 ग्राम,SOYAVITA MASALA SOYA KATORI 60 GM -T,31-01-2025,1,0,10-07-2024,06-05-2024,40,1,14.24,ktm,14.24,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,6,TI1867AAA2425,5,0,14.24,0,0,Main Warehouse,6,0,UK12406E24,Open,OTHERS,0,PI16AAA2425,PATANJALI STORE,,34.18,0,637.95,05AAECK5765H1ZE,-10298287.24,12,0,pal ak,21069099,,0,569.6,SOYAVITA,40,20,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150000805,61.52,SOYAVITA MASALA SOYA KATORI 27 GM -T,सोयाविटा मसाला सोया कटोरी 27 ग्राम,SOYAVITA MASALA SOYA KATORI 27 GM -T,25-11-2024,1,0,10-07-2024,29-02-2024,144,1,7.12,ktm,7.12,BISCUIT & CONFFECTIONARY,16-07-2024,pal ak,PO19AAA2425,Box,100060,,6,TI1867AAA2425,5,0,7.12,0,0,Main Warehouse,6,0,UK12029B24,Open,BISCUIT & CONFFECTIONARY,0,PI16AAA2425,PATANJALI STORE,,61.52,0,1148.31,05AAECK5765H1ZE,-10298287.24,12,0,pal ak,21069099,,0,1025.28,SOYAVITA,144,10,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
74385,414.35,UBTAN FACEWASH 100G (TO. BUY 2GET1 FREE),उबटन फेसवॉश 100 ग्राम (खरीदो 2 पाओ 1 मुफ्त),UBTAN FACEWASH 100G (TO. BUY 2GET1 FREE),30-05-2026,1,0,10-07-2024,30-05-2024,16,1,287.74,ktm,287.74,NON FOOD,16-07-2024,pal ak,PO19AAA2425,Carton,100060,,9,TI1867AAA2425,5,0,287.74,0,0,Main Warehouse,9,0,ABSN240001,Open,NATURAL PERSONAL CARE,0,PI16AAA2425,PATANJALI STORE,,414.35,0,5432.53,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,34013090,,0,4603.84,FACE WASH,16,400,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180005509,65.07,AAROGYA BISCUIT 75 GM,आरोग्य बिस्किट 75 ग्राम,AAROGYA BISCUIT 75 GM,30-11-2024,1,0,10-07-2024,03-06-2024,100,1,7.23,ktm,7.23,BISCUIT & CONFFECTIONARY,16-07-2024,pal ak,PO19AAA2425,Box,100060,,9,TI1867AAA2425,5,0,7.23,0,0,Main Warehouse,9,0,F324/BP1,Open,BISCUIT & CONFFECTIONARY,0,PI16AAA2425,PATANJALI STORE,,65.07,0,853.14,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,19053100,,0,723,BISCUITS,100,10,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002751,20.69,SOOJI - 500 GM,सूजी 500 ग्राम,SOOJI - 500 GM,16-10-2024,1,0,10-07-2024,18-06-2024,30,1,27.58,ktm,27.58,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,2.5,TI1867AAA2425,5,0,27.58,0,0,Main Warehouse,2.5,0,PDR8240038,Open,FLOUR & SUGAR,0,PI16AAA2425,PATANJALI STORE,,20.69,0,868.77,05AAECK5765H1ZE,-10298287.24,5,0,pal ak,11010000,,0,827.4,SUJI,30,35,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002882,32.37,SABZI MASALA 100 GM (30 pcs),सब्जी मसाला 100 ग्राम (30 नग),SABZI MASALA 100 GM (30 pcs),09-05-2025,1,40.05,10-07-2024,09-05-2024,30,1,44.5,ktm,44.5,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,2.5,TI1867AAA2425,5,0,44.5,0,0,Main Warehouse,2.5,0,AFI2400015,Open,RICE/PULSES/SPICES,0,PI16AAA2425,PATANJALI STORE,,32.37,0,1359.69,05AAECK5765H1ZE,-10298287.24,5,0,pal ak,9109100,,0,1294.95,SPICES,30,65,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
70472,186.2,HALDI CHANDAN KANTI BODY CLN-(4X1) 75 GM,हल्दी-चंदन कान्ति बॉडी क्लीन्ज़र (4×1) 75 ग्राम,HALDI CHANDAN KANTI BODY CLN-(4X1) 75 GM,28-02-2026,1,0,10-07-2024,01-02-2024,36,1,57.47,ktm,62.69,NON FOOD,16-07-2024,pal ak,PO19AAA2425,Carton,100060,,9,TI1867AAA2425,5,0,57.47,0,0,Main Warehouse,9,0,ASY2400007,Open,HOME CARE,0,PI16AAA2425,PATANJALI STORE,,186.2,0,2441.33,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,34011941,,0,2068.92,BODY CLEANSER,36,87,0,KANHA JI DISTRIBUTORS,500875,0,0,0,2.51,4
74319,201.14,NEEM KANTI BODY CLN.75G-C.O B4G1 FREE,नीम कान्ति बॉडी क्लीन्ज़र 75 ग्राम (खरीदो 4 पाओ 1 मुफ्त),NEEM KANTI BODY CLN.75G-C.O B4G1 FREE,18-06-2026,1,0,10-07-2024,18-06-2024,36,1,62.08,ktm,63.4,NON FOOD,16-07-2024,pal ak,PO19AAA2425,Carton,100060,,9,TI1867AAA2425,5,0,62.08,0,0,Main Warehouse,9,0,ABRO240013,Open,HOME CARE,0,PI16AAA2425,PATANJALI STORE,,201.14,0,2637.16,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,34011941,,0,2234.88,BODY CLEANSER,36,88,0,KANHA JI DISTRIBUTORS,500875,0,0,0,2.54,4
73521,102.73,SUPER DISHWASH BAR-225 G B3G1 FREE,सुपर डिशवॉश बार 225 ग्राम (खरीदो 3 पाओ 1 मुफ्त),SUPER DISHWASH BAR-225 G B3G1 FREE,08-06-2027,2,0,10-07-2024,08-06-2024,12,2,47.56,ktm,51.88,NON FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,9,TI1867AAA2425,5,0,47.56,0,0,Main Warehouse,9,0,AAXW240035,Open,HOME CARE,0,PI16AAA2425,PATANJALI STORE,,102.73,0,1346.9,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,34011990,,0,1141.44,DISHWASH,24,72,0,KANHA JI DISTRIBUTORS,500875,0,0,0,2.08,4
150000863,2461.86,COWS GHEE 1 L - T,गाय का घी 1 लीटर,COWS GHEE 1 L - T,19-03-2025,5,0,10-07-2024,22-06-2024,15,5,547.08,ktm,547.08,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,6,TI1867AAA2425,5,0,547.08,0,0,Main Warehouse,6,0,FAWC240079,Open,PHYSICAL OIL & GHEE,0,PI16AAA2425,PATANJALI STORE,,2461.86,0,45954.72,05AAECK5765H1ZE,-10298287.24,12,0,pal ak,4059020,,0,41031,GHEE,75,665,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002829,46.14,GILOY JUICE 500 ML,गिलोय रस 500 मि.ली.,GILOY JUICE 500 ML,21-03-2025,1,0,10-07-2024,21-03-2024,12,1,64.09,ktm,64.09,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,6,TI1867AAA2425,5,0,64.09,0,0,Main Warehouse,6,0,PFY2400008,Open,JUICES & NATURAL BEVERAGES,0,PI16AAA2425,PATANJALI STORE,,46.14,0,861.37,05AAECK5765H1ZE,-10298287.24,12,0,pal ak,30049011,,0,769.08,MEDICATED JUICES,12,90,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150000862,525.69,COWS GHEE 500 ML - T,गाय का घी 500 मि.ली.,COWS GHEE 500 ML - T,04-03-2025,1,0,10-07-2024,07-06-2024,30,1,292.05,ktm,292.05,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,6,TI1867AAA2425,5,0,292.05,0,0,Main Warehouse,6,0,FAWD240023,Open,PHYSICAL OIL & GHEE,0,PI16AAA2425,PATANJALI STORE,,525.69,0,9812.88,05AAECK5765H1ZE,-10298287.24,12,0,pal ak,4059020,,0,8761.5,GHEE,30,355,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002777,30.47,SAMAK RICE 500 GM,सामक चावल 500 ग्राम,SAMAK RICE 500 GM,13-06-2025,1,0,10-07-2024,18-06-2024,20,1,60.93,ktm,60.93,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,2.5,TI1867AAA2425,5,0,60.93,0,0,Main Warehouse,2.5,0,AANF240016,Open,RICE/PULSES/SPICES,0,PI16AAA2425,PATANJALI STORE,,30.47,0,1279.53,05AAECK5765H1ZE,-10298287.24,5,0,pal ak,10063090,,0,1218.6,RICE,20,75,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180005533,44.13,HIGH KICK KRACKER BISCUIT 200GM,हाई किक क्रैकर बिस्किट 200 ग्राम,HIGH KICK KRACKER BISCUIT 200GM,27-08-2024,1,0,10-07-2024,29-02-2024,24,1,20.43,ktm,20.43,BISCUIT & CONFFECTIONARY,16-07-2024,pal ak,PO19AAA2425,Box,100060,,9,TI1867AAA2425,5,0,20.43,0,0,Main Warehouse,9,0,BB24/BP1,Open,BISCUIT & CONFFECTIONARY,0,PI16AAA2425,PATANJALI STORE,,44.13,0,578.58,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,19059020,,0,490.32,BISCUITS,24,30,0,KANHA JI DISTRIBUTORS,500875,0,0,0,1.25,6
180005561,44.13,CREAMFEAST ORANGE BISCUIT 120 GM,क्रीमफीस्ट ऑरेंज बिस्किट 120 ग्राम,CREAMFEAST ORANGE BISCUIT 120 GM,29-07-2024,1,0,10-07-2024,31-01-2024,36,1,13.62,ktm,13.62,BISCUIT & CONFFECTIONARY,16-07-2024,pal ak,PO19AAA2425,Box,100060,,9,TI1867AAA2425,5,0,13.62,0,0,Main Warehouse,9,0,AF24/BP1,Open,BISCUIT & CONFFECTIONARY,0,PI16AAA2425,PATANJALI STORE,,44.13,0,578.58,05AAECK5765H1ZE,-10298287.24,18,0,pal ak,19053100,,0,490.32,BISCUITS,36,20,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0.83,6
150000807,61.52,SOYAVITA SOYA KATORI 27 GM -T,सोयाविटा सोया कटोरी 27 ग्राम,SOYAVITA SOYA KATORI 27 GM -T,01-11-2024,1,0,10-07-2024,05-02-2024,144,1,7.12,ktm,7.12,BISCUIT & CONFFECTIONARY,16-07-2024,pal ak,PO19AAA2425,Box,100060,,6,TI1867AAA2425,5,0,7.12,0,0,Main Warehouse,6,0,UK12105B24,Open,BISCUIT & CONFFECTIONARY,0,PI16AAA2425,PATANJALI STORE,,61.52,0,1148.31,05AAECK5765H1ZE,-10298287.24,12,0,pal ak,21069099,,0,1025.28,SOYAVITA,144,10,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150001460,0,IODIZED NAMAK 1 KG (NEW) - T,आयोडीन युक्त नमक 1 किग्रा (नया),IODIZED NAMAK 1 KG (NEW) - T,22-03-2026,1,0,10-07-2024,01-04-2024,25,1,10.4,ktm,10.4,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,0,TI1867AAA2425,5,0,10.4,0,0,Main Warehouse,0,0,BS24,Open,FLOUR & SUGAR,0,PI16AAA2425,PATANJALI STORE,,0,0,260,05AAECK5765H1ZE,-10298287.24,0,0,pal ak,25010010,,0,260,NAMAK,25,22,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150000825,34.18,SOYAVITA SOYA KATORI 60 GM -T,सोयाविटा सोया कटोरी 60 ग्राम,SOYAVITA SOYA KATORI 60 GM -T,26-11-2024,1,0,10-07-2024,01-03-2024,40,1,14.24,ktm,14.24,FOOD,16-07-2024,pal ak,PO19AAA2425,Box,100060,,6,TI1867AAA2425,5,0,14.24,0,0,Main Warehouse,6,0,UK12501C24,Open,OTHERS,0,PI16AAA2425,PATANJALI STORE,,34.18,0,637.95,05AAECK5765H1ZE,-10298287.24,12,0,pal ak,21069099,,0,569.6,SOYAVITA,40,20,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
84323,380.77,EVA YOGA MAT (6MM) - T,ईवा योगा मैट (6 मि.मी.),EVA YOGA MAT (6MM) - T,22-05-2026,0.83,0,10-07-2024,01-06-2024,12,10,423.08,ktm,423.08,OTHERS,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,9,TI1868AAA2425,5,0,423.08,0,0,Main Warehouse,9,0,23252614,Non-Open,OTHERS,0,PI17AAA2425,PATANJALI STORE,,380.77,0,4992.34,05AAECK5765H1ZE,-10298287.24,18,0,PAL AK,95069190,,0,4230.8,OTHERS,10,649,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180022522,131.49,MIX DRY FRUITS WITH BERRIES & SEED 500 G,मिक्स ड्राई फ्रूट्स विद बेरीज़ एंड सीड 500 ग्राम,MIX DRY FRUITS WITH BERRIES & SEED 500 G,23-12-2024,0.5,0,10-07-2024,26-06-2024,12,6,365.26,ktm,365.26,FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,6,TI1868AAA2425,5,0,365.26,0,0,Main Warehouse,6,0,ABOK240007,Non-Open,EXCLUSIVE RETAIL,0,PI17AAA2425,PATANJALI STORE,,131.49,0,2454.55,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK,8135020,,0,2191.56,DRY FRUITS,6,450,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180008904,26.78,PATANJALI DARK SOYA SAUCE 200G,पतंजलि डार्क सोया सॉस 200 ग्राम,PATANJALI DARK SOYA SAUCE 200G,10-12-2025,0.25,0,10-07-2024,18-06-2024,48,12,37.2,ktm,37.2,FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,6,TI1868AAA2425,5,0,37.2,0,0,Main Warehouse,6,0,ABGA240002,Non-Open,EXCLUSIVE RETAIL,0,PI17AAA2425,PATANJALI STORE,,26.78,0,499.97,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK,21031000,,0,446.4,SAUCE,12,50,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180025985,11.75,RAW PEANUTS 500 GM (10 PCS),कच्ची मूंगफली 500 ग्राम (10 नग),RAW PEANUTS 500 GM (10 PCS),11-12-2024,0.5,0,10-07-2024,14-06-2024,10,5,93.97,ktm,93.97,FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,2.5,TI1868AAA2425,5,0,93.97,0,0,Main Warehouse,2.5,0,ABVQ240001,Open,FLOUR & SUGAR,0,PI17AAA2425,PATANJALI STORE,,11.75,0,493.34,05AAECK5765H1ZE,-10298287.24,5,0,PAL AK,12024210,,0,469.85,DRY FRUITS,5,110,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150000774,41.66,ROASTED DIET-FLAXSEED BLCK SALT 150 GM-T,रोस्टेड डाइट फ्लैक्ससीड ब्लैक सॉल्ट 150 ग्राम,ROASTED DIET-FLAXSEED BLCK SALT 150 GM-T,09-09-2024,0.25,0,10-07-2024,13-03-2024,60,15,46.29,ktm,46.29,FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,6,TI1868AAA2425,5,0,46.29,0,0,Main Warehouse,6,0,FSA0730124,Open,OTHERS,0,PI17AAA2425,PATANJALI STORE,,41.66,0,777.67,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK,21069099,,0,694.35,ROASTED DIET FOODS,15,65,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
82259,60.26,DIVYA DHARA 10 ML (800 PC),दिव्य धारा 10 मि.ली. (800 नग),DIVYA DHARA 10 ML (800 PC),28-02-2027,0.04,0,10-07-2024,15-03-2024,800,30,33.48,ktm,33.48,FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,6,TI1868AAA2425,5,0,33.48,0,0,Main Warehouse,6,0,ADYD240006,Open,JUICES & NATURAL BEVERAGES,0,PI17AAA2425,PATANJALI STORE,,60.26,0,1124.93,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK,30049011,,0,1004.4,MEDICINE,30,45,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81595,17.86,Sanjeevani Vati 80 Tab,संजीवनी वटी 80 टैबलेट,Sanjeevani Vati 80 Tab,05-01-2027,0.05,0,10-07-2024,21-01-2024,400,20,35.71,ktm,35.71,PHARMACY,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,2.5,TI1868AAA2425,5,0,35.71,0,0,Main Warehouse,2.5,0,BSJV240003,Non-Open,MEDICINES,0,PI17AAA2425,PATANJALI STORE,,17.86,0,749.91,05AAECK5765H1ZE,-10298287.24,5,0,PAL AK,30049011,,0,714.2,VATI & GUGGAL,20,45,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81939,48.56,KESH KANTI HERBAL MEHANDI (DARK BROWN)-T,केश कान्ति हर्बल मेहंदी (डार्क ब्राउन),KESH KANTI HERBAL MEHANDI (DARK BROWN)-T,27-03-2025,0.33,0,10-07-2024,01-04-2024,120,40,13.49,ktm,13.49,NON FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,9,TI1868AAA2425,5,0,13.49,0,0,Main Warehouse,9,0,ADBR240024,Open,NATURAL PERSONAL CARE,0,PI17AAA2425,PATANJALI STORE,,48.56,0,636.73,05AAECK5765H1ZE,-10298287.24,18,0,PAL AK,33059090,,0,539.6,HERBAL MEHANDI & COLOUR,40,20,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81454,30.95,Dalchini Churna 100 Gm,दालचीनी चूर्ण 100 ग्राम,Dalchini Churna 100 Gm,21-02-2026,0.24,0,10-07-2024,03-03-2024,100,24,51.59,ktm,51.59,PHARMACY,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,2.5,TI1868AAA2425,5,0,51.59,0,0,Main Warehouse,2.5,0,ADCC240014,Non-Open,MEDICINES,0,PI17AAA2425,PATANJALI STORE,,30.95,0,1300.07,05AAECK5765H1ZE,-10298287.24,5,0,PAL AK,30049011,,0,1238.16,VATI & GUGGAL,24,65,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81098,72.54,Divya Udarkalp Churna 100 Gm,दिव्य उदरकल्प चूर्ण 100 ग्राम,Divya Udarkalp Churna 100 Gm,26-03-2026,0.25,0,10-07-2024,05-04-2024,100,25,48.36,ktm,48.36,PHARMACY,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,6,TI1868AAA2425,5,0,48.36,0,0,Main Warehouse,6,0,BUKC240014,Non-Open,MEDICINES,0,PI17AAA2425,PATANJALI STORE,,72.54,0,1354.08,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK,30049011,,0,1209,VATI & GUGGAL,25,65,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
80861,117.18,GASHER CHURAN - 100 GM - T,गैशर चूर्ण 100 ग्राम,GASHER CHURAN - 100 GM - T,26-03-2026,0.25,0,10-07-2024,05-04-2024,100,25,78.12,ktm,78.12,FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,6,TI1868AAA2425,5,0,78.13,0,0,Main Warehouse,6,0,BGHC240014,Open,JUICES & NATURAL BEVERAGES,0,PI17AAA2425,PATANJALI STORE,,117.18,0,2187.36,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK,30049011,,0,1953,MEDICINE,25,105,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
83777,40.68,NAMKEEN HING CHANA 35 GM (300 PC) - T,नमकीन हींग चना 35 ग्राम (300 नग),NAMKEEN HING CHANA 35 GM (300 PC) - T,02-11-2024,0.33,0,10-07-2024,06-05-2024,300,100,6.78,ktm,6.78,FOOD,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,6,TI1868AAA2425,5,0,6.78,0,0,Main Warehouse,6,0,UK07506E24,Open,NAMKEEN,0,PI17AAA2425,PATANJALI STORE,,40.68,0,759.36,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK,21069099,,0,678,NAMKEEN,100,10,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150000816,55.78,HERBAL HEALTH FOOD BAR 35GM - T,हर्बल हेल्थ फूड बार 35 ग्राम,HERBAL HEALTH FOOD BAR 35GM - T,30-01-2025,0.17,0,10-07-2024,05-02-2024,180,30,20.66,ktm,20.66,DAIRY DIVISION,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,9,TI1868AAA2425,5,0,20.66,0,0,Main Warehouse,9,0,AU52400002,Open,DAIRY DIVISION,0,PI17AAA2425,PATANJALI STORE,,55.78,0,731.36,05AAECK5765H1ZE,-10298287.24,18,0,PAL AK,17049090,,0,619.8,ENERGY BAR,30,30,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150001490,3.05,GOLD TEA - 10 GM (RS.5) (MT) - T,गोल्ड टी 10 ग्राम (₹5),GOLD TEA - 10 GM (RS.5) (MT) - T,18-01-2025,0.03,0,10-07-2024,19-01-2024,1200,30,4.07,ktm,4.07,BISCUIT & CONFFECTIONARY,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,2.5,TI1868AAA2425,5,0,4.07,0,0,Main Warehouse,2.5,0,BBNN240001,Open,BISCUIT & CONFFECTIONARY,0,PI17AAA2425,PATANJALI STORE,,3.05,0,128.21,05AAECK5765H1ZE,-10298287.24,5,0,PAL AK,9024090,,0,122.1,TEA,30,5,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0.16,4
150001501,3.05,OORJA TEA - 15 GM (RS.5) (MT) - T,ऊर्जा टी 15 ग्राम (₹5),OORJA TEA - 15 GM (RS.5) (MT) - T,11-02-2025,0.03,0,10-07-2024,12-02-2024,1200,30,4.07,ktm,4.07,BISCUIT & CONFFECTIONARY,16-07-2024,PAL AK,PO20AAA2425,PCS,100060,,2.5,TI1868AAA2425,5,0,4.07,0,0,Main Warehouse,2.5,0,BBNB240002,Open,BISCUIT & CONFFECTIONARY,0,PI17AAA2425,PATANJALI STORE,,3.05,0,128.21,05AAECK5765H1ZE,-10298287.24,5,0,PAL AK,9024090,,0,122.1,TEA,30,5,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0.16,4
150001115,49.59,ATTA NOODLES CHATPATA-60 GM (96 PC) - T,आटा नूडल्स चटपटा 60 ग्राम (96 नग),ATTA NOODLES CHATPATA-60 GM (96 PC) - T,02-03-2025,1,0,08-08-2024,05-06-2024,96,1,8.61,ktm,8.61,BISCUIT & CONFFECTIONARY,20-08-2024,PAL AK ,,Carton,100060,,6,TI2351AAA2425,5,0,8.61,0,0,Main Warehouse,6,0,CH050624,Open,BISCUIT & CONFFECTIONARY,0,PI18AAA2425,PATANJALI STORE,,49.59,0,925.75,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK ,19022090,,0,826.56,NOODLES,96,12,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0.55,6.25
150001119,49.59,ATTA NOODLES DESI MASALA 60 GM (96 PC)-T,आटा नूडल्स देसी मसाला 60 ग्राम (96 नग),ATTA NOODLES DESI MASALA 60 GM (96 PC)-T,08-04-2025,1,0,08-08-2024,12-07-2024,96,1,8.61,ktm,8.61,BISCUIT & CONFFECTIONARY,20-08-2024,PAL AK ,,Carton,100060,,6,TI2351AAA2425,5,0,8.61,0,0,Main Warehouse,6,0,DM120724,Open,BISCUIT & CONFFECTIONARY,0,PI18AAA2425,PATANJALI STORE,,49.59,0,925.75,05AAECK5765H1ZE,-10298287.24,12,0,PAL AK ,19022090,,0,826.56,NOODLES,96,12,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0.55,6.25
180002737,70.48,NAVRATNA ATTA 2 KG,नवरत्न आटा 2 किग्रा,NAVRATNA ATTA 2 KG,22-12-2024,1,0,08-08-2024,25-06-2024,20,1,140.95,ktm,140.95,FOOD,20-08-2024,PAL AK ,,Carton,100060,,2.5,TI2351AAA2425,5,0,140.95,0,0,Main Warehouse,2.5,0,AHV2400022,Open,FLOUR & SUGAR,0,PI18AAA2425,PATANJALI STORE,,70.48,0,2959.95,05AAECK5765H1ZE,-10298287.24,5,0,PAL AK ,11010000,,0,2819,ATTA,20,165,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180005515,129.96,DOODH BISCUIT 35 GM (200 PC),दूध बिस्किट 35 ग्राम (200 नग),DOODH BISCUIT 35 GM (200 PC),11-01-2025,2,0,08-08-2024,15-07-2024,200,2,3.61,ktm,3.61,BISCUIT & CONFFECTIONARY,20-08-2024,PAL AK ,,Carton,100060,,9,TI2351AAA2425,5,0,3.61,0,0,Main Warehouse,9,0,GJ24/AV9,Open,BISCUIT & CONFFECTIONARY,0,PI18AAA2425,PATANJALI STORE,,129.96,0,1703.92,05AAECK5765H1ZE,-10298287.24,18,0,PAL AK ,19053100,,0,1444,BISCUITS,400,5,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180005481,61.27,DIGESTIVE COOKIES (WHOLE WHEAT) 250 GM,साबुत गेहूं डाइजेस्टिव कुकीज़ 250 ग्राम,DIGESTIVE COOKIES (WHOLE WHEAT) 250 GM,13-01-2025,1,0,08-08-2024,17-07-2024,20,1,34.04,ktm,34.04,BISCUIT & CONFFECTIONARY,20-08-2024,PAL AK ,,Carton,100060,,9,TI2351AAA2425,5,0,34.04,0,0,Main Warehouse,9,0,GL24/BP1,Open,BISCUIT & CONFFECTIONARY,0,PI18AAA2425,PATANJALI STORE,,61.27,0,803.34,05AAECK5765H1ZE,-10298287.24,18,0,PAL AK ,19053100,,0,680.8,BISCUITS,20,50,0,KANHA JI DISTRIBUTORS,500875,0,0,0,2.08,6
180009932,91.91,RAGI COOKIES DIGESTIVE 200 GM,रागी डाइजेस्टिव कुकीज़ 200 ग्राम,RAGI COOKIES DIGESTIVE 200 GM,19-12-2024,1,0,08-08-2024,22-07-2024,20,1,51.06,ktm,51.06,BISCUIT & CONFFECTIONARY,20-08-2024,PAL AK ,,Carton,100060,,9,TI2351AAA2425,5,0,51.06,0,0,Main Warehouse,9,0,GO24/BP1,Open,BISCUIT & CONFFECTIONARY,0,PI18AAA2425,PATANJALI STORE,,91.91,0,1205.02,05AAECK5765H1ZE,-10298287.24,18,0,PAL AK ,19053100,,0,1021.2,BISCUITS,20,75,0,KANHA JI DISTRIBUTORS,500875,0,0,0,3.13,6
